year,code,name,level,region,estimated_births,rate,health_underreporting,estimated_missing,source_table
2023,GO,Goiás,state,Centro-Oeste,92262.44,0.6703,0.33972,618.435135,1.1
2023,DF,DF,state,Centro-Oeste,35394.1,0.1359,0.18393,48.100582,1.1
2023,IGN,Ignorado,unknown,,121,0,,0.0,1.1
2024,BR,Brasil,country,,2398633.99,0.9548,0.38885,22902.157337,1.1
2024,Norte,Norte,region,,267335.6,3.528,0.62341,9431.599968,1.1
2024,RO,Rondônia,state,Norte,21929.26,0.4891,1.05459,107.256011,1.1
2024,AC,Acre,state,Norte,13289.66,2.7063,1.20136,359.658069,1.1
2024,AM,Amazonas,state,Norte,66298.29,4.3987,0.58266,2916.262882,1.1
2024,RR,Roraima,state,Norte,12433.73,13.8634,2.73236,1723.737725,1.1
2024,PA,Pará,state,Norte,118673.84,2.8067,0.30827,3330.818667,1.1
2024,AP,Amapá,state,Norte,12516,5.8405,0.95876,730.99698,1.1
2024,TO,Tocantins,state,Norte,22194.81,1.1841,0.28751,262.808745,1.1
2024,Nordeste,Nordeste,region,,670650.23,1.3358,0.5419,8958.545772,1.1
2024,MA,Maranhão,state,Nordeste,92888.78,1.9419,0.7372,1803.807219,1.1
2024,PI,Piauí,state,Nordeste,39778.74,3.9814,0.65547,1583.750754,1.1
2024,CE,Ceará,state,Nordeste,106036.72,1.3483,0.61179,1429.693096,1.1
2024,RN,Rio Grande do Norte,state,Nordeste,36929.43,0.7296,0.90288,269.437121,1.1
2024,PB,Paraíba,state,Nordeste,49534.46,0.5581,0.49755,276.451821,1.1
2024,PE,Pernambuco,state,Nordeste,111674.23,1.1589,0.4954,1294.192651,1.1
2024,AL,Alagoas,state,Nordeste,45315.63,0.5597,0.23309,253.631581,1.1
2024,SE,Sergipe,state,Nordeste,27540.22,3.0981,0.16057,853.223556,1.1
2024,BA,Bahia,state,Nordeste,160952.02,0.7418,0.47034,1193.942084,1.1
2024,Sudeste,Sudeste,region,,907281.51,0.2646,0.30636,2400.666875,1.1
2024,MG,Minas Gerais,state,Sudeste,221047.35,0.2282,0.45617,504.430053,1.1
2024,ES,Espírito Santo,state,Sudeste,50103.74,0.4266,0.34277,213.742555,1.1
2024,RJ,Rio de Janeiro,state,Sudeste,164414.68,0.5788,0.43772,951.632168,1.1
2024,SP,São Paulo,state,Sudeste,471715.73,0.1549,0.1865,730.687666,1.1
2024,Sul,Sul,region,,337370.28,0.2544,0.164,858.269992,1.1
2024,PR,Paraná,state,Sul,131388.43,0.1183,0.28041,155.432513,1.1
2024,SC,Santa Catarina,state,Sul,93926.69,0.4969,0.11679,466.721723,1.1
2024,RS,Rio Grande do Sul,state,Sul,112055.16,0.2108,0.06707,236.212277,1.1
2024,Centro-Oeste,Centro-Oeste,region,,215876.37,0.5801,0.2656,1252.298822,1.1
2024,MS,Mato Grosso do Sul,state,Centro-Oeste,38017.96,0.5759,0.34709,218.945432,1.1
2024,MT,Mato Grosso,state,Centro-Oeste,55565.45,1.1382,0.36614,632.445952,1.1
2024,GO,Goiás,state,Centro-Oeste,89160.95,0.4003,0.24893,356.911283,1.1
2024,DF,DF,state,Centro-Oeste,33132.02,0.1329,0.04836,44.032455,1.1
2024,IGN,Ignorado,unknown,,120,0,,0.0,1.1
